Postal Code,ZIP_CIDE,Walk_Score
H1A,H1A 3N9,7
H1A,H1A 3P1,7
H1A,H1A 3P2,7
H1A,H1A 3P3,8
H1A,H1A 3P4,12
H1A,H1A 3P5,13
H1A,H1A 3P6,9
H1A,H1A 3P7,15
H1A,H1A 3P9,6
H1A,H1A 3R1,2
H1A,H1A 3R2,8
H1A,H1A 3R3,17
H1A,H1A 3R4,26
H1A,H1A 3R5,29
H1A,H1A 3R6,72
H1A,H1A 3R7,71
H1A,H1A 3R8,45
H1A,H1A 3R9,42
H1A,H1A 3S2,6
H1A,H1A 3S4,42
H1A,H1A 3S5,20
H1A,H1A 3S6,47
H1A,H1A 3S7,45
H1A,H1A 3S8,45
H1A,H1A 3S9,42
H1A,H1A 3T2,12
H1A,H1A 3T3,13
H1A,H1A 3T4,9
H1A,H1A 3T5,24
H1A,H1A 3T6,49
H1A,H1A 3T8,29
H1A,H1A 3T9,53
H1A,H1A 3V1,49
H1A,H1A 3V2,46
H1A,H1A 3V3,38
H1A,H1A 3V4,74
H1A,H1A 3V5,28
H1A,H1A 3V6,48
H1A,H1A 3V7,52
H1A,H1A 3V8,61
H1A,H1A 3V9,71
H1A,H1A 3W1,50
H1A,H1A 3W2,73
H1A,H1A 3W3,21
H1A,H1A 3W4,28
H1A,H1A 3W5,24
H1A,H1A 3W6,47
H1A,H1A 3W7,73
H1A,H1A 3W8,24
H1A,H1A 3W9,2
H1A,H1A 3X1,5
H1A,H1A 3X2,52
H1A,H1A 3X3,42
H1A,H1A 3X4,71
H1A,H1A 3X5,40
H1A,H1A 3X6,32
H1A,H1A 3X7,25
H1A,H1A 3X8,35
H1A,H1A 3X9,2
H1A,H1A 3Y1,18
H1A,H1A 3Y2,22
H1A,H1A 3Y3,35
H1A,H1A 3Y4,37
H1A,H1A 3Y5,26
H1A,H1A 3Y6,49
H1A,H1A 3Y7,48
H1A,H1A 3Y8,42
H1A,H1A 3Y9,18
H1A,H1A 3Z1,17
H1A,H1A 3Z2,44
H1A,H1A 3Z3,38
H1A,H1A 3Z4,50
H1A,H1A 3Z5,38
H1A,H1A 3Z6,40
H1A,H1A 3Z7,38
H1A,H1A 3Z8,66
H1A,H1A 3Z9,38
H1A,H1A 4A1,54
H1A,H1A 4A2,34
H1A,H1A 4A3,42
H1A,H1A 4A4,70
H1A,H1A 4A5,61
H1A,H1A 4A6,44
H1A,H1A 4A7,21
H1A,H1A 4A8,22
H1A,H1A 4A9,46
H1A,H1A 4B1,72
H1A,H1A 4B2,52
H1A,H1A 4B3,22
H1A,H1A 4B4,47
H1A,H1A 4B5,42
H1A,H1A 4B6,14
H1A,H1A 4B7,72
H1A,H1A 4B8,46
H1A,H1A 4B9,14
H1A,H1A 4C1,52
H1A,H1A 4C2,72
H1A,H1A 4C3,38
H1A,H1A 4C4,45
H1A,H1A 4C5,18
H1A,H1A 4C6,70
H1A,H1A 4C7,70
H1A,H1A 4C8,54
H1A,H1A 4C9,24
H1A,H1A 4E1,54
H1A,H1A 4E2,42
H1A,H1A 4E3,40
H1A,H1A 4E4,24
H1A,H1A 4E5,52
H1A,H1A 4E6,13
H1A,H1A 4E7,24
H1A,H1A 4E8,20
H1A,H1A 4E9,13
H1A,H1A 4G1,71
H1A,H1A 4G2,66
H1A,H1A 4G4,9
H1A,H1A 4G5,14
H1A,H1A 4G6,28
H1A,H1A 4G7,47
H1A,H1A 4G8,40
H1A,H1A 4G9,24
H1A,H1A 4H1,20
H1A,H1A 4H2,27
H1A,H1A 4H3,22
H1A,H1A 4H4,60
H1A,H1A 4H5,15
H1A,H1A 4H6,13
H1A,H1A 4H7,13
H1A,H1A 4H8,14
H1A,H1A 4H9,14
H1A,H1A 4J1,11
H1A,H1A 4J2,13
H1A,H1A 4J3,11
H1A,H1A 4J4,43
H1A,H1A 4J5,31
H1A,H1A 4J6,31
H1A,H1A 4J7,31
H1A,H1A 4J8,31
H1A,H1A 4J9,31
H1A,H1A 4K1,31
H1A,H1A 4K2,31
H1A,H1A 4K3,15
H1A,H1A 4K4,48
H1A,H1A 4K5,52
H1A,H1A 4K6,40
H1A,H1A 4K7,22
H1A,H1A 4K8,66
H1A,H1A 4K9,12
H1A,H1A 4L1,10
H1A,H1A 4L2,66
H1A,H1A 4L3,60
H1A,H1A 4L4,60
H1A,H1A 4L5,60
H1A,H1A 4L6,64
H1A,H1A 4L7,29
H1A,H1A 4L8,8
H1A,H1A 4L9,23
H1A,H1A 4M1,5
H1A,H1A 4M2,11
H1A,H1A 4M3,27
H1A,H1A 4M4,33
H1A,H1A 4M5,20
H1A,H1A 4M6,6
H1A,H1A 4M8,14
H1A,H1A 4N8,63
H1A,H1A 4N9,63
H1A,H1A 4P3,11
H1A,H1A 4P6,32
H1A,H1A 4R5,66
H1A,H1A 4S1,56
H1A,H1A 4S2,29
H1A,H1A 4S3,34
H1A,H1A 4S8,73
H1A,H1A 4S9,29
H1A,H1A 4T1,69
H1A,H1A 4T5,7
H1A,H1A 4V3,73
H1A,H1A 4V4,21
H1A,H1A 4V9,15
H1A,H1A 4W1,15
H1A,H1A 4W2,24
H1A,H1A 4W6,46
H1A,H1A 4X6,72
H1A,H1A 4X7,15
H1A,H1A 4X8,8
H1A,H1A 4X9,62
H1A,H1A 4Y1,22
H1A,H1A 4Y2,24
H1A,H1A 4Y3,69
H1A,H1A 4Y4,11
H1A,H1A 4Y5,54
H1A,H1A 4Y6,6
H1A,H1A 4Y7,31
H1A,H1A 4Y8,16
H1A,H1A 4Z1,40
H1A,H1A 4Z2,73
H1A,H1A 4Z3,11
H1A,H1A 4Z4,12
H1A,H1A 4Z5,12
H1A,H1A 4Z6,36
H1A,H1A 4Z7,24
H1A,H1A 4Z8,24
H1A,H1A 4Z9,24
H1A,H1A 4Z9,24
H1A,H1A 5A1,23
H1A,H1A 5A2,22
H1A,H1A 5A2,22
H1A,H1A 5A3,22
H1A,H1A 5A4,22
H1A,H1A 5A5,21
H1A,H1A 5A6,23
H1A,H1A 5A7,18
H1A,H1A 5A8,13
H1A,H1A 5A9,18
H1A,H1A 5B1,23
H1A,H1A 5B2,24
H1A,H1A 5B3,14
H1A,H1A 5B4,10
H1A,H1A 5B5,11
H1A,H1A 5B6,14
H1A,H1A 5B7,47
H1A,H1A 5B8,30
H1A,H1A 5B9,30
H1A,H1A 5C2,40
H1A,H1A 5C3,62
H1A,H1A 5C4,62
H1A,H1A 5C5,71
H1A,H1A 5C6,58
H1A,H1A 5C7,56
H1A,H1A 5C8,50
H1A,H1A 5C8,50
H1A,H1A 5C9,56
H1A,H1A 5C9,56
H1A,H1A 5E1,43
H1A,H1A 5E2,39
H1A,H1A 5E3,17
H1A,H1A 5E4,11
H1A,H1A 5E5,26
H1A,H1A 5E6,26
H1A,H1A 5E7,22
H1A,H1A 5E8,22
H1A,H1A 5E9,33
H1A,H1A 5G1,33
H1A,H1A 5G2,49
H1A,H1A 5G3,42
