,type,bedroom,bathroom,size(sqft),address,price,Postal Code,lat,long,url
3504,Condo,4 1/2,1,900,"2400 Rue Wilfrid-Reid, Saint-Laurent, QC H4R 0B8, Canada",1 780,H4R,45.51798,-73.71356,https://www.kijiji.ca/v-appartement-condo/ville-de-montreal/condo-moderne-4-unite-de-coin-a-bois-franc/1579605783
3505,Condo,3 1/2,1.5,620,"1150 R. Saint-Denis, Montréal, QC H2X 0B3, Canada",1 499,H2L,45.51276,-73.55863,https://www.kijiji.ca/v-appartement-condo/ville-de-montreal/condo-luxueux-1150-saint-denis/1579595721
3506,Condo, 4 1/2 et coin détente,1,800,"10050 Pl. de l'Acadie, Montréal, QC H4N 0C8, Canada",2 000,H4N,45.53341,-73.68081,https://www.kijiji.ca/v-appartement-condo/ville-de-montreal/condo-4-1-2-lumineux-et-luxueux-meuble/1579595580
3507,Condo,4 1/2,1,980,"575 Rue Lucien-L'Allier, Montréal, QC H3C 4L3, Canada",2 100,H3C,45.49314,-73.56679,https://www.kijiji.ca/v-appartement-condo/ville-de-montreal/2-bedroom-lucien-lallier/1579594695
3508,Condo, 4 1/2 et coin détente,1,991,"1601 Angrignon, H8N0E8, LaSalle, QC",2 100,H4E,45.44732,-73.60707,https://www.kijiji.ca/v-appartement-condo/ville-de-montreal/condo-penthouse-co-living-digital-nomad-for-rent/1570875515
3509,Condo,4 1/2,1,983,"7270 Rue de Lunan, Brossard, QC J4Y 0N4, Canada",1 650,J4Y,45.42686,-73.44889,https://www.kijiji.ca/v-appartement-condo/longueuil-rive-sud/superbe-condo-a-louer-dix30/1579582324
3510,Appartement,3 1/2,1,Non disponible,"395 Cote Vertu, Montreal, QC, H4N 1E6",855,H4N,45.52627,-73.67076,https://www.kijiji.ca/v-appartement-condo/ville-de-montreal/cote-vertu-i-1-bedroom-apartment-for-rent/1555679426
3511,Appartement,5 1/2,1,Non disponible,"1285 Decarie Street, Montreal, QC, H4L 3N2",1 260,H4L,45.51674,-73.68604,https://www.kijiji.ca/v-appartement-condo/ville-de-montreal/norgate-renaissance-3-bedroom-renovated-apartment-for-rent/1555679407
3512,Appartement,3 1/2,1,Non disponible,"1285 Decarie Street, Montreal, QC, H4L 3N2",799,H4L,45.51674,-73.68604,https://www.kijiji.ca/v-appartement-condo/ville-de-montreal/norgate-renaissance-1-bedroom-apartment-for-rent/1555646904
3513,Appartement, 7 1/2 +,1,1,"Rue Marie-Anne, Montréal, QC, Canada",Sur,H2J,45.52538,-73.57831,https://www.kijiji.ca/v-appartement-condo/ville-de-montreal/chambre-a-louer-sur-le-plateau/1582578499
